Date,Open,High,Low,Close,Volume
7/30/2012,21.1043,21.4085,20.9936,21.2511,379140284
7/31/2012,21.5439,21.8464,21.5257,21.8128,462327164
8/1/2012,21.9966,22.0143,21.5357,21.6718,384499324
8/2/2012,21.53,21.8103,21.4375,21.7068,332249088
8/3/2012,21.9153,22.0707,21.8414,21.9893,344914732
8/6/2012,22.0461,22.3167,21.9735,22.2339,302320360
8/7/2012,22.2418,22.3214,22.0728,22.1755,290510228
8/8/2012,22.121,22.2814,22.0393,22.1378,244704592
8/9/2012,22.0661,22.2046,22.0643,22.1689,221810536
8/10/2012,22.0968,22.2057,22.0964,22.2035,195060344
8/13/2012,22.2639,22.5,22.2589,22.5,278830184
8/14/2012,22.5668,22.8075,22.5075,22.5603,340167636
8/15/2012,22.5464,22.6428,22.4196,22.5296,257509368
8/16/2012,22.5432,22.7414,22.5178,22.7264,254777068
8/17/2012,22.8571,23.1496,22.8146,23.1468,442760072
8/20/2012,23.2146,23.7553,23.2107,23.7553,613383396
8/21/2012,23.9578,24.1028,23.2261,23.4308,812705964
8/22/2012,23.3721,23.8928,23.1468,23.8882,565323252
8/23/2012,23.7896,23.925,23.6125,23.6653,420118664
8/24/2012,23.5539,23.91,23.4125,23.6865,437336916
8/27/2012,24.2853,24.3168,24.055,24.1314,426914772
8/28/2012,24.1063,24.1464,23.9526,24.1,267377528
8/29/2012,24.116,24.2025,24.0214,24.0523,202804536
8/30/2012,23.9514,23.984,23.6733,23.7095,302691444
8/31/2012,23.8303,23.8786,23.4732,23.7585,338318764
9/4/2012,23.7771,24.1121,23.7321,24.106,367890824
9/5/2012,24.1275,24.1553,23.9143,23.9368,336362264
9/6/2012,24.0418,24.2246,23.9571,24.1525,391383072
9/7/2012,24.216,24.3743,24.1346,24.3014,329664880
9/10/2012,24.3018,24.4032,23.6464,23.6693,487996132
9/11/2012,23.7539,23.9321,23.4464,23.5925,503940020
9/12/2012,23.8161,23.925,23.4285,23.921,712218568
9/13/2012,24.1918,24.4821,24.0989,24.3921,598359252
